Frequency (Hz)	Level (dB)
8484.082031	-64.570824
8494.848633	-64.127533
8505.615234	-62.902252
8516.381836	-63.349609
8527.148438	-63.321114
8537.915039	-61.457558
8548.681641	-59.447067
8559.448242	-60.803791
8570.214844	-62.778015
8580.981445	-59.607872
8591.748047	-59.697094
8602.514648	-59.960541
8613.281250	-59.005280
8624.047852	-59.390591
8634.814453	-59.222042
8645.581055	-59.737671
8656.347656	-58.569427
8667.114258	-57.960854
8677.880859	-57.166275
8688.647461	-58.082329
8699.414062	-60.282135
8710.180664	-57.119228
8720.947266	-56.325756
8731.713867	-58.668037
8742.480469	-59.509628
8753.247070	-61.338966
8764.013672	-58.637589
8774.780273	-60.432987
8785.546875	-62.969837
8796.313477	-61.891903
8807.080078	-62.363789
8817.846680	-59.020546
8828.613281	-60.669800
8839.379883	-62.180050
8850.146484	-60.319794
8860.913086	-62.016155
8871.679688	-63.453323
8882.446289	-63.122677
8893.212891	-62.717289
8903.979492	-62.904053
8914.746094	-63.182774
8925.512695	-63.259167
8936.279297	-62.766312
8947.045898	-62.835358
8957.812500	-61.803936
8968.579102	-62.625469
8979.345703	-63.437904
8990.112305	-63.073143
9000.878906	-61.758556
9011.645508	-62.631512
9022.412109	-63.521851
9033.178711	-63.886284
9043.945312	-63.926140
9054.711914	-64.144081
9065.478516	-64.141556
9076.245117	-64.080864
9087.011719	-63.778629
9097.778320	-63.867188
9108.544922	-64.002670
9119.311523	-63.640106
9130.078125	-62.994476
9140.844727	-62.842644
9151.611328	-62.968670
9162.377930	-63.074455
9173.144531	-63.205269
9183.911133	-62.988964
9194.677734	-62.795677
9205.444336	-62.850880
9216.210938	-62.853443
9226.977539	-62.995831
9237.744141	-63.118641
9248.510742	-63.266041
9259.277344	-62.542782
9270.043945	-62.588715
9280.810547	-63.303307
9291.577148	-63.742100
9302.343750	-63.820065
9313.110352	-63.569569
9323.876953	-63.247929
9334.643555	-63.073208
9345.410156	-62.948967
9356.176758	-62.581287
9366.943359	-62.850800
9377.709961	-63.050358
9388.476562	-62.251003
9399.243164	-62.536552
9410.009766	-63.716496
9420.776367	-63.822388
9431.542969	-63.739044
9442.309570	-63.563461
9453.076172	-63.647507
9463.842773	-63.211411
9474.609375	-62.775871
9485.375977	-62.935921
9496.142578	-63.257923
9506.909180	-63.304420
9517.675781	-63.137962
9528.442383	-63.042145
9539.208984	-63.441990
9549.975586	-62.653278
9560.742188	-62.944847
9571.508789	-63.342030
9582.275391	-63.154438
9593.041992	-62.717663
9603.808594	-62.026360
9614.575195	-61.390778
9625.341797	-60.536736
9636.108398	-59.299889
9646.875000	-60.024548
9657.641602	-61.919872
9668.408203	-62.685043
9679.174805	-62.643162
9689.941406	-62.333298
9700.708008	-62.597393
9711.474609	-63.499779
9722.241211	-63.612221
9733.007812	-63.564701
9743.774414	-63.460331
9754.541016	-63.253559
9765.307617	-63.041027
9776.074219	-62.761574
9786.840820	-62.501877
9797.607422	-62.323437
9808.374023	-62.289093
9819.140625	-62.272972
9829.907227	-61.609734
9840.673828	-62.174755
9851.440430	-63.060181
9862.207031	-63.243557
9872.973633	-63.333477
9883.740234	-62.927525
9894.506836	-63.213047
9905.273438	-63.372292
9916.040039	-63.231300
9926.806641	-63.075535
9937.573242	-62.775188
9948.339844	-62.352814
9959.106445	-62.005241
9969.873047	-62.157578
9980.639648	-62.506313
9991.406250	-62.477886
10002.172852	-62.901024
10012.939453	-63.069386
10023.706055	-63.171848
10034.472656	-63.287552
10045.239258	-63.093884
10056.005859	-62.699158
10066.772461	-63.018883
10077.539062	-63.152901
10088.305664	-63.011978
10099.072266	-62.355133
10109.838867	-61.955776
10120.605469	-61.709480
10131.372070	-61.396255
10142.138672	-61.347786
10152.905273	-61.487259
10163.671875	-61.841251
10174.438477	-62.236504
10185.205078	-62.816097
10195.971680	-62.699387
10206.738281	-62.423763
10217.504883	-62.274582
10228.271484	-62.208221
10239.038086	-61.626678
10249.804688	-61.473892
10260.571289	-62.184944
10271.337891	-62.482300
10282.104492	-62.325302
10292.871094	-61.308201
10303.637695	-61.965965
10314.404297	-62.598175
10325.170898	-62.814640
10335.937500	-62.855957
10346.704102	-62.888084
10357.470703	-62.947407
10368.237305	-62.528667
10379.003906	-62.503098
10389.770508	-62.412624
10400.537109	-62.443466
10411.303711	-62.268906
10422.070312	-62.352512
10432.836914	-62.774456
10443.603516	-62.858711
10454.370117	-63.242821
10465.136719	-63.153065
10475.903320	-63.016880
10486.669922	-63.233955
10497.436523	-63.469006
10508.203125	-63.409931
10518.969727	-63.277561
10529.736328	-63.337898
10540.502930	-63.416206
10551.269531	-63.104523
10562.036133	-61.987221
10572.802734	-62.364941
10583.569336	-62.926197
10594.335938	-62.980659
10605.102539	-63.040970
10615.869141	-62.858604
10626.635742	-63.116383
10637.402344	-63.270760
10648.168945	-63.435226
10658.935547	-63.746597
10669.702148	-63.914696
10680.468750	-63.791603
10691.235352	-63.482468
10702.001953	-63.467545
10712.768555	-63.345024
10723.535156	-62.116543
10734.301758	-59.800667
10745.068359	-59.147453
10755.834961	-60.635525
10766.601562	-62.145977
10777.368164	-61.298630
10788.134766	-61.525528
10798.901367	-62.736160
10809.667969	-63.182152
10820.434570	-63.489819
10831.201172	-63.630810
10841.967773	-63.426147
10852.734375	-63.448822
10863.500977	-63.445145
10874.267578	-62.518303
10885.034180	-58.294895
10895.800781	-53.811020
10906.567383	-56.538651
10917.333984	-61.448196
10928.100586	-62.937664
10938.867188	-63.247677
10949.633789	-63.577061
10960.400391	-62.780563
10971.166992	-61.868629
10981.933594	-62.468777
10992.700195	-63.094917
11003.466797	-62.448788
11014.233398	-62.655605
11025.000000	-63.082775
11035.766602	-62.433277
11046.533203	-61.735733
11057.299805	-61.698715
11068.066406	-62.346313
11078.833008	-62.938515
11089.599609	-63.212196
11100.366211	-63.599579
11111.132812	-63.847466
11121.899414	-63.961929
11132.666016	-63.948174
11143.432617	-63.947311
11154.199219	-63.867413
11164.965820	-64.058647
11175.732422	-64.165329
11186.499023	-64.159874
11197.265625	-64.284218
11208.032227	-64.127914
11218.798828	-63.858635
11229.565430	-63.569206
11240.332031	-63.770992
11251.098633	-62.958012
11261.865234	-62.069633
11272.631836	-63.259903
11283.398438	-63.165508
11294.165039	-61.531513
11304.931641	-61.176704
11315.698242	-63.376827
